Imie,Umiejetnosci Angular,Umiejetnosci Java,Umiejetnosci UI/UX,Umiejetnosci SQL,Znajomosc angielskiego,Suma Umiejetnosci,Wynagrodzenie
Toni Burrell,0.49,0.56,0.0,0.0,0.0,1.05,36
Lynda Westlie,0.0,0.0,0.57,0.63,0.72,1.92,58
Diane Giebner,0.57,1.0,0.46,0.77,0.58,3.38,91
Larry Bolduc,0.4,0.0,0.71,0.74,0.0,1.85,50
Joshua Mackey,0.25,0.0,0.0,0.0,0.37,0.62,46
Carlton Pearson,0.89,0.0,0.34,0.0,0.41,1.64,45
James Downey,0.0,0.79,0.0,0.25,0.12,1.16,66
Emily Walton,0.05,0.61,0.87,0.7,0.27,2.5,31
Debbie Hayes,0.24,0.32,0.02,1.0,0.14,1.72,47
Leatha Snyder,0.65,0.43,0.38,1.0,0.51,2.97,97
Daniel Fang,0.01,1.0,0.0,0.15,0.68,1.84,56
Arron Bussey,0.0,0.97,0.15,0.58,0.35,2.05,52
Stephen Perry,1.0,0.05,0.12,0.0,0.85,2.02,31
Martha Vogan,0.53,0.75,0.0,0.65,0.0,1.93,31
Helen Pierson,0.0,0.91,0.25,0.78,0.0,1.94,51
Steven Lucchesi,0.0,1.0,0.31,0.96,0.38,2.65,38
Albert Bisom,0.0,0.64,1.0,0.28,0.23,2.15,47
Manuel Mares,0.28,0.0,0.48,0.0,1.0,1.76,57
Richard Barnum,0.52,0.0,0.29,0.85,0.29,1.95,38
Jeanie Ormond,0.68,0.21,0.69,0.99,0.44,3.01,78
Marty Ditzel,0.14,0.6,0.65,0.17,1.0,2.56,55
Andrea Bennett,0.0,0.0,0.0,0.56,0.57,1.13,45
Paul Cheek,0.08,0.7,1.0,0.23,0.0,2.01,62
Sheri Mcghee,0.22,0.54,0.0,0.57,0.0,1.33,68
Margaret Sparks,0.44,0.43,0.19,0.14,0.44,1.64,58
Tameka Rivera,0.69,0.42,0.0,0.37,0.92,2.4,55
Bruce Villarreal,1.0,0.03,0.38,0.21,0.23,1.85,34
Robert Bush,0.87,0.53,0.24,0.65,0.48,2.77,70
Cecile Preskar,0.6,0.0,0.51,0.0,0.0,1.11,49
Hilda Fitting,1.0,0.0,0.0,0.56,0.69,2.25,31
Patricia Blasengame,1.0,0.0,0.76,0.08,0.83,2.67,59
Laura Driever,0.8,0.1,0.28,1.0,0.18,2.36,45
Micah Gayman,0.52,0.0,0.02,0.5,0.56,1.6,61
Angela Snelson,1.0,0.59,0.48,0.84,0.36,3.27,74
Dorothy Jones,0.53,0.62,0.51,0.38,0.5,2.54,62
Carolyn Clifton,0.33,0.0,0.0,0.64,0.86,1.83,60
Marie Routzahn,0.1,0.49,0.85,1.0,0.0,2.44,58
James Morgan,0.8,0.0,0.52,1.0,0.27,2.59,33
Michael Hamilton,0.0,0.94,1.0,0.0,0.7,2.64,40
Reginald Gibbs,0.55,0.47,0.33,0.27,0.0,1.62,31
James Sieving,0.46,0.0,0.29,0.0,0.19,0.94,36
Hazel Smith,0.73,0.41,0.51,1.0,0.38,3.03,92
Jane Linn,0.19,0.2,0.0,0.66,0.03,1.08,36
Jonathan Enoch,0.27,0.16,0.31,0.0,0.61,1.35,62
Beverly Cooper,0.0,0.38,0.0,1.0,0.0,1.38,43
Amanda Gould,0.53,0.83,0.55,0.43,1.0,3.34,81
Stephanie Ray,0.0,1.0,0.48,0.67,0.76,2.91,96
Glen Judd,0.55,0.0,0.25,0.14,1.0,1.94,37
Joyce Bryant,0.59,0.78,0.11,0.12,0.83,2.43,60
Steven Hallinan,0.0,0.23,0.82,0.06,1.0,2.11,67
Antonio Harvey,0.12,0.43,0.17,0.37,0.72,1.81,67
James Vanwassenhove,0.37,0.36,1.0,0.36,0.63,2.72,97
Kathy Zenisek,0.0,0.74,0.02,1.0,0.51,2.27,38
William Minick,0.55,0.9,0.2,0.0,0.03,1.68,32
Lillian Wilson,0.5,0.34,0.47,1.0,0.43,2.74,83
Mary Wilson,1.0,0.4,1.0,0.37,1.0,3.77,70
Margaret Jones,0.75,0.81,0.0,1.0,1.0,3.56,71
Beatrice Marsden,0.44,0.0,0.83,0.77,0.69,2.73,96
Frank Lounsbury,0.59,1.0,0.0,0.02,0.08,1.69,47
Danny Mccue,0.62,1.0,0.0,0.14,0.0,1.76,34
Ray Mcpherson,0.9,0.31,0.5,0.0,0.97,2.68,50
Rebekah Braegelmann,1.0,0.79,0.69,0.0,0.78,3.26,92
Eric Brothern,1.0,0.12,0.96,1.0,0.73,3.81,90
Norma Ceja,1.0,0.0,0.0,0.0,0.38,1.38,65
Jacob Ooten,0.0,0.43,1.0,0.14,1.0,2.57,34
Anthony Coyne,0.0,0.87,0.73,0.0,0.18,1.78,44
Linda Schreiber,0.09,1.0,0.7,0.57,0.12,2.48,52
Kerry Massimino,0.0,0.39,0.52,1.0,1.0,2.91,75
Janie Laris,0.53,1.0,0.15,0.0,0.25,1.93,38
David Stepp,0.0,0.0,0.46,0.01,0.0,0.47,50
Douglas Ayala,0.0,0.45,1.0,0.76,0.66,2.87,91
Jason Molina,0.58,0.19,0.67,0.42,1.0,2.86,79
Arthur Graser,0.0,0.09,0.47,0.44,0.47,1.47,56
Ann Walls,0.4,0.95,0.0,0.27,0.69,2.31,49
Dennis Luevano,0.83,0.92,0.0,0.05,0.01,1.81,32
Darryl Pears,0.0,0.0,0.41,0.0,0.64,1.05,64
Rosa White,0.0,0.0,0.51,1.0,0.62,2.13,55
Kristen Seebach,0.0,0.38,0.96,0.12,0.39,1.85,43
Michael Marcum,0.71,0.77,0.4,1.0,0.46,3.34,89
Raymond Fiala,0.0,0.1,1.0,0.5,0.71,2.31,32
Mary Butera,0.68,0.0,1.0,0.0,1.0,2.68,35
Douglas Derringer,0.14,0.02,0.52,0.0,0.69,1.37,34
Gloria Alexander,1.0,0.0,1.0,0.48,0.0,2.48,42
Dave Westfall,0.0,0.0,0.91,0.0,0.45,1.36,62
Maude Camara,0.0,0.92,0.71,0.65,0.54,2.82,78
Rachel Batchelor,0.14,1.0,0.84,0.19,0.75,2.92,98
William Bender,0.05,0.72,0.18,0.38,0.4,1.73,37
Holly Walsh,0.38,1.0,0.24,0.61,0.09,2.32,54
Frances Price,0.49,0.98,0.91,0.0,0.0,2.38,67
Sergio Rankin,0.8,0.86,0.0,1.0,0.1,2.76,86
Anthony Tant,0.68,0.2,0.0,0.98,0.54,2.4,55
Bonita Biddle,0.0,0.2,0.04,0.0,0.46,0.7,67
Freddie Mason,1.0,1.0,0.92,0.38,0.34,3.64,79
Jason Torres,0.63,0.0,0.0,0.25,0.37,1.25,44
Orville Gillen,0.65,0.45,0.07,0.34,0.06,1.57,61
Denver Hickey,0.0,0.83,0.09,0.39,0.61,1.92,64
Betty Dobbins,0.68,1.0,0.57,1.0,0.26,3.51,78
Anne Frieden,1.0,0.16,0.49,0.4,0.86,2.91,94
Ricky Garvin,0.0,0.58,0.85,0.8,0.1,2.33,63
Abigail Patel,0.0,0.0,0.78,0.27,0.32,1.37,59
Helen Miller,0.13,0.26,0.28,0.67,0.8,2.14,39
Sara Kitts,1.0,0.0,0.0,0.71,0.27,1.98,65
Linda Cadogan,0.17,0.65,0.12,0.0,0.58,1.52,37
Timothy Abbott,0.52,0.89,0.27,0.54,1.0,3.22,77
Edward Harris,0.78,0.27,1.0,0.67,0.0,2.72,97
Carrie Longfellow,0.36,0.74,1.0,0.22,0.0,2.32,30
Herbert Boatright,0.03,1.0,1.0,1.0,0.3,3.33,76
Margaret Hughes,0.0,0.0,0.27,0.0,0.64,0.91,42
James Middleton,0.0,0.73,0.48,0.82,0.36,2.39,61
Reid Hofmeister,0.29,0.0,0.41,0.94,0.4,2.04,42
Florida Hunt,0.43,0.39,0.0,0.19,0.87,1.88,41
Roger Medlin,0.12,0.29,0.51,0.0,1.0,1.92,53
Larry Banchero,0.16,0.79,0.0,0.58,0.74,2.27,44
Ronald Lansing,0.7,0.0,0.0,0.75,0.0,1.45,37
Rene Lints,0.56,0.0,0.62,0.15,0.3,1.63,42
Jose Jessup,0.81,0.0,0.75,0.67,1.0,3.23,92
Tiffany Sherwood,0.03,0.37,0.16,0.55,0.62,1.73,35
Alan Robinson,1.0,0.0,0.0,0.06,0.37,1.43,54
Irene Thomas,1.0,0.56,0.84,0.8,0.67,3.87,90
Kristen Williams,0.63,0.95,0.49,0.0,1.0,3.07,77
Michael Temple,0.71,0.51,0.8,0.31,0.69,3.02,82
William Cullinan,1.0,0.0,1.0,0.88,0.38,3.26,78
Thomas Funk,0.52,0.21,0.0,0.0,0.28,1.01,50
Henry Smith,0.19,0.9,1.0,0.96,0.12,3.17,97
Tania Holder,0.0,0.89,0.58,0.0,0.3,1.77,60
Herman Stoner,0.82,0.74,0.2,0.0,1.0,2.76,94
Kathleen Moore,1.0,1.0,1.0,0.79,0.33,4.12,94
Phyllis Drane,0.67,0.07,0.88,0.27,0.67,2.56,67
Winifred Garofalo,1.0,0.15,0.0,1.0,0.44,2.59,51
James Taber,0.0,0.0,0.0,0.15,0.61,0.76,52
Tyrone Michaels,0.38,0.17,0.68,0.0,0.38,1.61,66
Matthew Tullio,0.37,0.0,1.0,0.33,0.65,2.35,46
Maria Jimenes,0.82,0.0,0.44,0.28,0.13,1.67,65
Raphael Sturgeon,0.95,1.0,1.0,0.49,0.55,3.99,82
Nancy Owens,0.0,0.38,0.29,1.0,0.34,2.01,49
Mary Moran,0.36,0.12,1.0,0.0,0.35,1.83,30
Teresa Richmond,0.0,1.0,0.25,0.0,0.42,1.67,32
Tyrone Mccomas,0.26,1.0,0.59,0.0,0.33,2.18,62
Joseph Ward,0.0,0.08,0.0,0.67,0.67,1.42,64
Johanna Day,0.0,0.08,0.53,0.88,0.01,1.5,40
Jeremiah Makris,0.0,1.0,0.0,1.0,0.0,2.0,61
Peter Hernandez,0.6,0.65,0.36,0.04,0.36,2.01,43
Zenaida Morrison,0.21,1.0,0.0,0.01,0.54,1.76,41
John Collins,0.0,0.17,0.31,0.76,1.0,2.24,33
Ralph Applewhite,0.0,0.07,1.0,0.87,0.0,1.94,68
Stephanie Humphrey,0.83,0.32,0.25,0.27,0.48,2.15,41
Tracey Shearer,0.6,0.67,0.53,1.0,0.0,2.8,83
Patrick Beck,0.0,0.61,0.36,0.27,0.0,1.24,46
Ralph Bullock,0.0,0.5,0.07,0.76,1.0,2.33,67
Thomas Mcinnis,0.76,0.0,0.03,0.72,0.88,2.39,36
Ricky Pearce,0.63,1.0,0.17,0.01,1.0,2.81,88
Sarita Shepperd,0.42,0.06,0.44,0.01,0.3,1.23,63
Majorie Cole,0.58,0.7,0.0,1.0,0.95,3.23,87
Carol Monk,0.0,0.02,0.67,0.0,0.91,1.6,62
Dorothy Rameriz,0.0,1.0,1.0,0.51,0.67,3.18,71
Jeremy Wegman,0.22,0.46,0.84,0.78,1.0,3.3,83
Ursula Padilla,0.0,0.0,0.86,0.81,0.0,1.67,55
Sharon Grant,0.35,0.6,0.39,0.98,0.48,2.8,93
Jimmy Moran,0.0,0.49,0.29,0.38,0.54,1.7,43
Anna Smith,0.53,1.0,0.45,0.0,0.0,1.98,62
Rodney Vreeland,0.0,0.67,0.56,0.32,0.89,2.44,65
Dorothy Dunn,0.81,1.0,1.0,0.0,0.12,2.93,77
Monica Warner,0.83,0.12,0.07,0.93,1.0,2.95,76
Carolyn Sarver,0.37,0.0,0.43,0.51,0.83,2.14,56
Gertrude Wilson,0.0,0.41,1.0,0.72,0.22,2.35,54
Philip Gonzales,0.84,0.09,0.0,0.72,1.0,2.65,59
Jay Lerman,1.0,0.75,0.0,0.65,0.2,2.6,34
Paul Guy,0.62,0.44,0.4,0.0,1.0,2.46,32
Betty Childers,0.0,0.7,0.49,0.54,0.91,2.64,61
Jerry Palasik,0.1,0.55,0.32,0.55,0.0,1.52,38
Kathy Weston,0.0,0.03,0.97,0.16,0.0,1.16,41
Ruth Harris,1.0,0.56,1.0,0.0,0.25,2.81,76
Christopher Wallace,1.0,0.01,0.92,0.49,0.45,2.87,83
Russel Geyer,0.0,0.76,0.82,0.05,1.0,2.63,42
Art Brown,0.42,0.26,0.96,0.0,0.26,1.9,65
Lorie Carrington,1.0,0.0,0.38,0.52,0.0,1.9,44
Daryl Dodds,0.26,1.0,0.23,0.71,1.0,3.2,76
Jason Trosper,0.45,0.31,0.63,0.31,0.41,2.11,67
Alta Clinton,1.0,1.0,0.47,0.89,0.0,3.36,88
Loren Haggins,0.84,0.75,0.3,0.58,0.38,2.85,89
John Carr,0.56,0.0,1.0,0.0,0.0,1.56,30
Jean Cheek,0.0,0.71,0.28,0.23,0.69,1.91,32
Larry Robinson,1.0,0.32,0.37,0.3,0.0,1.99,61
Patricia Dyke,0.0,0.32,0.0,0.61,0.66,1.59,65
Steven Logan,0.72,0.81,0.37,0.19,0.8,2.89,79
Pat Rodriguez,0.0,0.0,0.55,0.0,0.56,1.11,48
Joanne Roses,0.06,0.18,0.62,0.25,0.62,1.73,61
Adam Wagner,0.0,0.51,0.27,0.89,0.63,2.3,44
Christopher Dewispelaere,0.75,1.0,0.92,0.04,0.76,3.47,76
Osvaldo Atchley,0.2,0.0,0.67,0.65,1.0,2.52,37
Gordon Conti,0.25,0.0,0.0,0.12,0.0,0.37,30
Benjamin Cobb,0.61,1.0,0.42,0.0,1.0,3.03,85
Robert Corrales,0.04,0.87,0.05,0.0,0.0,0.96,63
Grover Smith,1.0,0.31,1.0,0.0,0.0,2.31,46
Lillian Hayes,0.0,0.94,0.12,0.28,1.0,2.34,38
Adam Cooper,0.02,0.24,0.89,0.0,1.0,2.15,49
Jason Rothe,1.0,0.25,0.0,0.93,0.75,2.93,70
Derek Montejo,0.0,0.18,0.15,1.0,0.19,1.52,44
Juana Wyman,0.0,0.68,0.35,0.15,0.21,1.39,34
Gerald Skibbe,0.58,0.65,1.0,0.16,0.6,2.99,95
Terry Pfannenstiel,0.08,0.75,0.39,0.18,0.13,1.53,68
Harry Henson,1.0,0.0,0.8,0.98,0.4,3.18,96
Corine Wallace,0.22,0.77,0.88,1.0,0.92,3.79,88
Lynne Cable,1.0,0.28,0.0,1.0,0.0,2.28,38
David William,0.22,0.18,0.13,0.54,1.0,2.07,39
Majorie Sanford,0.0,0.54,0.05,0.02,0.0,0.61,60
Rosalie Nagura,0.0,0.53,1.0,1.0,0.0,2.53,65
Ron Lee,1.0,1.0,0.52,0.0,0.33,2.85,93
Julie Capps,0.28,0.61,0.55,0.49,0.23,2.16,41
Ethel Sloan,0.49,0.72,0.91,0.29,0.71,3.12,80
Jeffrey Huebner,0.47,0.24,0.0,0.42,0.3,1.43,44
Harold Lee,0.45,0.28,0.0,0.13,0.4,1.26,45
Luis Cooper,0.17,0.99,0.61,0.21,0.79,2.77,84
Tiffany Banks,0.97,0.2,0.04,0.2,0.48,1.89,55
Laura Colosimo,0.0,0.83,1.0,0.0,0.86,2.69,32
Michael Ferrero,0.0,0.48,0.47,0.85,0.13,1.93,40
Lynn Davis,0.22,0.38,0.0,1.0,0.0,1.6,31
William Hatcher,0.0,0.0,0.98,0.0,1.0,1.98,40
Gregory Williams,0.69,0.62,0.0,0.02,0.58,1.91,67
John Etter,0.69,0.46,0.15,0.48,0.49,2.27,67
Ellen Turner,0.38,0.34,0.33,0.02,0.0,1.07,54
Janice Hurley,0.74,0.68,0.26,0.71,1.0,3.39,95
Sarah Lardner,1.0,0.61,0.0,0.95,0.0,2.56,47
Carol Littlejohn,0.8,0.0,0.0,0.0,0.0,0.8,56
Marnie Greer,0.89,0.38,0.66,0.05,0.0,1.98,39
Ray Nasworthy,0.6,0.42,0.37,0.56,0.0,1.95,63
Ebony Eubanks,0.18,1.0,1.0,0.0,0.49,2.67,65
Juanita Crawford,0.05,0.31,0.14,0.89,0.0,1.39,42
Elizabeth Appel,0.0,0.84,0.0,1.0,1.0,2.84,76
Mandy Robison,0.0,0.7,0.0,0.78,0.83,2.31,68
Malcolm Kovach,0.88,0.0,0.38,0.6,0.35,2.21,39
Eric Levandowski,0.4,0.8,0.27,0.37,0.19,2.03,67
Amy Marcella,0.37,0.53,0.82,1.0,0.77,3.49,91
Linda Rodriques,0.66,0.88,0.9,0.79,0.0,3.23,84
Robert Mcdonald,0.16,0.42,0.32,0.09,0.55,1.54,51
Kathleen Higginson,0.31,1.0,0.23,1.0,0.11,2.65,46
Tracy Baskin,0.81,0.82,0.07,1.0,0.22,2.92,82
Russell Torain,0.0,1.0,1.0,0.23,0.2,2.43,35
Betty Farmer,0.81,0.48,0.0,0.73,1.0,3.02,83
Maryann Moe,0.0,0.71,0.0,0.0,0.64,1.35,56
Thomas Edwards,1.0,0.93,0.49,0.38,0.0,2.8,96
Joyce Pinder,0.78,0.38,0.0,0.64,0.75,2.55,64
Betty Brown,0.41,0.41,0.23,0.91,0.61,2.57,50
Christopher Wright,0.41,0.82,0.86,0.56,1.0,3.65,90
Ivan Pineau,0.17,1.0,0.0,0.0,0.39,1.56,53
Sadie Viray,1.0,0.34,0.57,0.0,0.98,2.89,88
Mary Weis,0.0,0.35,0.0,0.0,0.05,0.4,39
Inez Ahearn,0.28,0.4,0.0,0.15,1.0,1.83,50
Ronald Blair,0.37,0.0,0.0,0.0,0.69,1.06,34
Susie Bright,0.54,0.0,0.22,0.35,0.97,2.08,66
Martha Pittman,0.28,0.12,0.0,0.12,0.83,1.35,49
Christopher Bartholf,0.59,1.0,0.55,0.17,0.0,2.31,34
Michelle Holmes,0.0,1.0,1.0,0.28,1.0,3.28,72
Judith Perry,0.38,0.48,0.71,0.16,0.11,1.84,40
David Parker,0.0,0.87,0.44,0.53,0.0,1.84,56
Vernice Mccaslin,0.33,0.0,1.0,0.37,0.73,2.43,39
Stephanie Mcwhorter,0.0,0.62,0.67,0.45,1.0,2.74,71
Charles Miles,1.0,0.0,0.38,0.0,1.0,2.38,30
Prudence Robinson,0.0,0.21,0.7,0.66,0.71,2.28,41
Leigh Arevalos,0.59,0.63,1.0,0.84,0.62,3.68,93
Mackenzie Dwight,0.0,0.73,0.43,1.0,0.79,2.95,71
Norman Wright,0.0,0.0,0.38,0.0,0.37,0.75,41
Daniel Weyer,1.0,1.0,0.0,0.0,1.0,3.0,72
Kirk Lawrence,0.0,0.68,0.79,1.0,0.61,3.08,98
Chris Ryan,0.97,0.09,0.22,1.0,0.58,2.86,76
Wayne Cruz,0.71,0.0,1.0,0.66,0.53,2.9,98
Larry Coleman,0.82,0.81,0.5,0.0,1.0,3.13,85
Nicole Ware,1.0,1.0,0.17,0.69,1.0,3.86,71
Elaine Felder,0.44,0.79,0.89,1.0,0.0,3.12,91
Barbara Hobden,0.18,0.0,0.76,0.0,0.7,1.64,61
Dewey Johansen,1.0,0.2,0.43,0.36,0.25,2.24,59
Melissa Davis,1.0,0.9,0.24,0.82,0.65,3.61,95
Debra Bruns,1.0,0.0,0.3,0.51,1.0,2.81,92
Linda Killingsworth,0.11,0.0,0.7,0.31,0.49,1.61,60
Richard Jacobs,0.76,0.0,0.0,0.05,0.95,1.76,44
Glenda Devine,0.0,0.36,0.0,1.0,0.44,1.8,43
Concepcion Campbell,1.0,0.0,0.0,0.7,0.7,2.4,43
April Peters,0.79,0.19,0.07,1.0,0.0,2.05,61
Richard Anderson,0.54,0.35,0.12,0.96,0.89,2.86,91
Allan Swinger,0.18,0.07,0.0,0.0,0.71,0.96,56
Sandra Ehrhart,0.44,0.75,0.0,0.07,0.93,2.19,54
Anne Washburn,0.74,0.37,1.0,0.0,0.22,2.33,47
Jonathan Day,0.31,0.34,0.93,0.9,0.74,3.22,78
Carol Colpitts,0.52,0.0,0.24,0.59,0.77,2.12,61
Jeffery Richardson,0.83,0.56,0.0,0.17,0.49,2.05,66
Kimberly Roberts,0.33,0.92,0.25,0.0,0.41,1.91,46
Jeffery Newsome,0.0,0.39,0.54,0.77,0.14,1.84,52
Ruben Han,0.0,0.0,0.02,0.63,0.08,0.73,58
Warren Kilpatrick,0.93,1.0,0.41,0.56,0.79,3.69,72
Salvador Barnes,0.74,1.0,0.02,1.0,1.0,3.76,81
Jerry Deschamps,0.0,0.28,0.0,1.0,1.0,2.28,30
Michael Thompson,0.69,0.97,0.0,0.0,0.82,2.48,67
Amber Brown,0.08,0.33,0.0,0.0,0.55,0.96,36
Corey Chastain,0.51,0.66,0.0,0.71,0.56,2.44,66
Dawn Lee,0.0,0.29,0.97,0.2,0.12,1.58,38
Luther Stanley,0.45,0.77,0.41,0.0,0.56,2.19,30
Amos Bolton,0.86,0.05,0.4,0.69,0.68,2.68,56
Gary Otten,0.32,0.06,0.0,0.0,0.0,0.38,65
Johnny Rhames,0.65,0.97,0.58,0.43,0.4,3.03,94
Cassandra Castro,0.0,0.0,0.82,0.37,0.0,1.19,34
Gary Mcdonald,0.08,0.25,0.61,1.0,0.51,2.45,66
Michael Morguson,0.0,1.0,0.2,0.81,0.84,2.85,94
Carrie Shaffer,0.18,0.38,0.47,0.24,0.48,1.75,67
David Brandon,0.3,0.4,0.39,0.0,0.81,1.9,53
Crystal Rodriquez,0.0,0.82,0.12,0.28,0.58,1.8,45
Benjamin Krylo,0.48,0.63,0.0,0.0,0.38,1.49,65
Karen Horney,0.87,0.03,0.09,1.0,0.27,2.26,48
Gerald Woodbury,0.0,0.78,0.0,0.33,1.0,2.11,37
Pauline Guereca,0.89,1.0,0.53,0.76,1.0,4.18,89
Matthew Gans,0.0,0.0,0.0,0.15,0.16,0.31,30
John King,0.75,1.0,1.0,0.59,1.0,4.34,73
Mark Cox,0.0,0.31,0.77,1.0,0.0,2.08,36
Ronald Arriaga,0.94,0.37,0.8,0.7,1.0,3.81,97
Adam Mitchell,0.76,0.86,0.62,0.42,0.94,3.6,81
Joseph Mirr,0.15,0.62,0.0,0.27,0.39,1.43,52
Christina Pleasant,0.69,0.95,0.76,0.71,0.7,3.81,74
Betty White,0.21,0.0,0.98,0.15,0.24,1.58,64
Monica Lagnese,0.0,0.34,0.7,0.0,0.13,1.17,47
Elaine Miller,0.51,1.0,0.0,0.59,0.68,2.78,94
Penny Thompson,0.56,0.05,1.0,0.25,0.07,1.93,49
Richard Woodcock,0.76,0.0,0.0,0.46,0.32,1.54,58
Diana Diemer,0.0,0.44,0.93,0.0,0.25,1.62,32
Paul Bravo,0.07,0.2,0.02,0.35,0.61,1.25,68
Daysi Moses,0.0,0.34,0.0,0.31,1.0,1.65,45
Constance Smith,0.77,0.17,0.19,0.0,0.2,1.33,68
Joe Koo,0.51,0.14,0.54,0.32,0.59,2.1,57
Leo Hansen,0.0,0.0,0.0,0.46,0.2,0.66,63
Jennie Carollo,0.53,0.05,0.44,0.0,0.27,1.29,32
Yvonne Couture,0.0,0.0,1.0,0.0,1.0,2.0,48
Robin Rosenthal,0.29,1.0,0.0,1.0,0.0,2.29,31
Herman Edward,0.16,0.61,0.36,0.0,1.0,2.13,68
Veronica Leatherman,1.0,0.0,0.0,0.11,0.0,1.11,46
Christopher Lehman,0.83,0.16,0.08,1.0,0.04,2.11,31
Pearl White,0.4,0.92,0.81,0.37,0.9,3.4,78
Alexa Morrison,0.11,0.0,0.74,0.13,1.0,1.98,66
Mack Williemae,0.0,0.44,0.34,0.48,1.0,2.26,63
Carl Riley,0.33,0.97,0.47,0.0,0.0,1.77,31
Christopher Marshall,1.0,0.0,0.0,0.09,0.7,1.79,47
Matthew Kiser,0.44,0.16,0.19,0.0,0.34,1.13,47
Helen Davis,0.77,0.75,0.77,1.0,0.0,3.29,72
Jerry Mcgeorge,0.68,0.63,0.06,0.0,0.0,1.37,34
Bryan Galvez,0.96,1.0,0.83,1.0,0.28,4.07,97
Emily Bustios,0.37,0.0,1.0,0.3,0.0,1.67,59
George Dorst,1.0,0.2,0.0,0.16,0.23,1.59,33
Mabel Roberts,1.0,0.0,0.31,1.0,0.0,2.31,67
Adam Pahulu,1.0,0.73,0.34,0.81,0.0,2.88,96
Charles Griffin,0.24,0.0,0.0,0.51,0.23,0.98,48
John Moreno,1.0,0.42,0.0,0.07,0.47,1.96,42
Joshua Vincent,0.06,1.0,1.0,0.47,0.49,3.02,72
Ciara Koenig,0.66,0.6,1.0,0.0,0.0,2.26,60
Raymond Wagner,0.57,0.32,0.83,0.1,0.68,2.5,43
James Combs,1.0,0.31,0.64,0.79,0.0,2.74,75
Cynthia Hegge,0.77,0.45,1.0,1.0,0.23,3.45,88
William Hedtke,0.21,0.0,0.31,0.74,0.88,2.14,34
Thomas Thrasher,0.77,0.76,0.58,0.35,0.09,2.55,63
Frances Martinez,0.9,0.0,0.08,0.0,0.59,1.57,57
Marvin Devine,0.62,0.0,0.79,0.53,0.9,2.84,92
Jean Abdul,0.29,0.43,1.0,0.22,0.13,2.07,60
Pauline Avalos,0.71,0.16,0.53,0.48,0.43,2.31,48
John Avila,0.13,0.29,0.99,0.51,0.0,1.92,52
Lance Engler,0.44,1.0,0.55,0.18,0.77,2.94,71
Mary Hahn,0.31,0.93,0.0,0.04,1.0,2.28,63
Lisa Lovette,0.0,0.48,0.69,0.49,1.0,2.66,42
Kelly Eller,0.93,0.5,0.68,0.24,0.78,3.13,97
Betty Barney,0.0,0.55,0.13,0.32,0.63,1.63,33
Brian Flatt,0.4,1.0,0.29,0.53,0.71,2.93,72
Cindy Shepherd,0.0,0.15,1.0,0.29,0.0,1.44,67
Bobby Emling,1.0,0.62,0.04,0.76,0.48,2.9,82
John Placencia,0.37,0.75,0.73,0.0,1.0,2.85,81
Blanca Cummings,0.0,1.0,0.05,0.0,1.0,2.05,47
Raymond Redding,0.25,0.0,0.0,1.0,0.03,1.28,30
Darrin Berg,0.0,0.69,0.74,1.0,0.2,2.63,32
Gregory Coyt,1.0,0.35,0.36,0.21,0.14,2.06,34
Terry Reid,0.14,0.12,0.19,0.56,0.44,1.45,48
Steve Givens,0.96,0.0,0.0,0.63,1.0,2.59,56
Kelly Smith,0.17,0.31,0.1,0.0,0.97,1.55,57
Adriana Egleston,0.81,0.56,1.0,0.0,0.97,3.34,87
Tina Deleon,0.39,0.62,0.11,0.47,0.22,1.81,31
Verda Still,0.12,0.0,0.45,0.24,0.0,0.81,38
Renate Lebowitz,0.03,0.99,1.0,0.38,0.9,3.3,79
Vickie Dill,0.35,0.34,0.0,0.98,0.84,2.51,49
Clark Spooner,0.33,1.0,0.15,0.88,0.32,2.68,54
